amount,transaction_type,location,device_id,transaction_hour,previous_transactions,is_new_device,is_international,fraud
46809.55,TRANSFER,Delhi,DEVICE003,8,22,0,0,1
16804.47,PAYMENT,Pune,DEVICE005,7,29,0,0,0
47071.76,PAYMENT,Ahmedabad,DEVICE008,11,19,0,0,1
22180.11,DEPOSIT,Mumbai,DEVICE008,13,13,0,0,0
29885.06,PAYMENT,Ahmedabad,DEVICE004,5,21,0,0,0
433.25,PAYMENT,Kolkata,DEVICE008,3,26,0,0,1
18904.97,PAYMENT,Pune,DEVICE001,12,9,0,0,0
16655.77,PAYMENT,Kolkata,DEVICE003,16,21,1,0,0
12676.54,WITHDRAWAL,Chennai,DEVICE002,12,26,0,0,0
26043.93,TRANSFER,Mumbai,DEVICE008,13,10,1,1,1
13132.48,WITHDRAWAL,Bangalore,DEVICE005,11,29,0,0,0
41794.86,DEPOSIT,Mumbai,DEVICE003,10,26,0,0,0
33760.32,PAYMENT,Kolkata,DEVICE002,16,30,0,0,0
28645.39,PAYMENT,Mumbai,DEVICE001,11,4,1,1,0
13118.4,DEPOSIT,Delhi,DEVICE005,1,21,0,0,1
37155.36,PAYMENT,Bangalore,DEVICE006,19,8,1,0,1
42800.08,TRANSFER,Mumbai,DEVICE002,3,15,0,1,1
47690.76,PAYMENT,Ahmedabad,DEVICE005,22,30,0,0,0
32854.19,DEPOSIT,Nashik,DEVICE006,8,9,0,0,0
8164.59,DEPOSIT,Pune,DEVICE006,9,27,1,0,1
793.85,WITHDRAWAL,Bangalore,DEVICE008,8,14,0,0,0
21241.86,PAYMENT,Mumbai,DEVICE001,14,26,0,0,1
17595.66,WITHDRAWAL,Pune,DEVICE006,10,12,0,1,1
41757.55,DEPOSIT,Ahmedabad,DEVICE007,18,5,1,0,1
20044.09,PAYMENT,Ahmedabad,DEVICE002,15,7,1,0,0
32639.41,TRANSFER,Kolkata,DEVICE006,0,16,0,0,0
10259.12,WITHDRAWAL,Chennai,DEVICE006,1,18,0,1,1
40110.78,TRANSFER,Bangalore,DEVICE002,7,26,0,0,0
37492.73,WITHDRAWAL,Mumbai,DEVICE004,12,1,0,0,1
15254.02,PAYMENT,Dhule,DEVICE003,22,24,0,0,1
40302.27,DEPOSIT,Hyderabad,DEVICE004,2,30,1,0,1
19858.58,DEPOSIT,Delhi,DEVICE003,19,7,0,0,0
34688.49,PAYMENT,Chennai,DEVICE008,8,21,0,0,0
6028.84,WITHDRAWAL,Kolkata,DEVICE004,10,14,0,0,0
36433.04,TRANSFER,Delhi,DEVICE003,14,0,0,1,1
27205.83,DEPOSIT,Hyderabad,DEVICE004,3,2,1,0,1
13782.47,PAYMENT,Mumbai,DEVICE004,19,2,1,0,0
35107.69,DEPOSIT,Nashik,DEVICE002,0,15,0,0,0
27437.42,PAYMENT,Hyderabad,DEVICE005,20,7,1,0,0
10219.43,PAYMENT,Dhule,DEVICE007,17,14,0,0,0
25128.56,DEPOSIT,Nashik,DEVICE004,9,29,0,1,1
34791.97,TRANSFER,Delhi,DEVICE001,10,29,0,0,0
22807.52,WITHDRAWAL,Ahmedabad,DEVICE001,2,0,0,0,1
13178.29,DEPOSIT,Mumbai,DEVICE001,0,4,0,0,0
37760.07,DEPOSIT,Hyderabad,DEVICE004,12,24,0,0,0
169.87,DEPOSIT,Bangalore,DEVICE008,15,20,0,0,0
18155.42,TRANSFER,Pune,DEVICE001,8,11,0,0,1
2261.22,TRANSFER,Mumbai,DEVICE007,22,13,0,0,0
15280.87,WITHDRAWAL,Pune,DEVICE008,10,5,0,1,0
27690.3,DEPOSIT,Mumbai,DEVICE005,17,22,0,1,0
48260.92,WITHDRAWAL,Hyderabad,DEVICE008,23,22,0,1,1
32564.97,WITHDRAWAL,Ahmedabad,DEVICE006,8,12,0,0,0
44949.91,PAYMENT,Bangalore,DEVICE001,14,21,0,0,1
26090.12,WITHDRAWAL,Hyderabad,DEVICE001,16,11,0,1,0
7947.75,PAYMENT,Delhi,DEVICE007,12,19,1,0,0
32003.08,TRANSFER,Dhule,DEVICE002,23,9,0,0,0
22982.55,PAYMENT,Bangalore,DEVICE002,12,16,0,0,0
46968.75,TRANSFER,Kolkata,DEVICE005,22,2,0,0,1
7288.15,DEPOSIT,Delhi,DEVICE004,3,10,0,0,0
25848.85,TRANSFER,Chennai,DEVICE004,13,23,0,0,0
9642.56,TRANSFER,Nashik,DEVICE002,14,9,0,0,0
49003.77,PAYMENT,Pune,DEVICE004,10,1,0,0,0
17513.25,WITHDRAWAL,Chennai,DEVICE005,5,8,0,0,0
12486.59,DEPOSIT,Dhule,DEVICE003,21,2,1,0,1
38375.1,PAYMENT,Dhule,DEVICE002,21,23,0,1,0
8170.66,DEPOSIT,Nashik,DEVICE006,19,14,0,0,0
14286.98,DEPOSIT,Kolkata,DEVICE003,9,22,0,0,0
45799.76,DEPOSIT,Bangalore,DEVICE004,18,16,1,0,0
34008.79,WITHDRAWAL,Delhi,DEVICE005,6,15,1,0,0
17741.17,TRANSFER,Bangalore,DEVICE006,3,4,1,0,0
23598.69,TRANSFER,Kolkata,DEVICE004,9,12,0,0,0
14982.97,TRANSFER,Pune,DEVICE008,2,28,0,0,0
43750.69,DEPOSIT,Pune,DEVICE006,20,2,0,0,1
13243.31,TRANSFER,Nashik,DEVICE006,20,27,0,1,0
36340.37,TRANSFER,Bangalore,DEVICE004,11,15,0,0,0
15008.64,WITHDRAWAL,Mumbai,DEVICE005,14,28,0,1,1
41033.08,PAYMENT,Chennai,DEVICE006,4,1,0,0,0
38984.48,TRANSFER,Ahmedabad,DEVICE007,2,19,0,0,0
8505.4,PAYMENT,Pune,DEVICE004,20,17,0,0,0
8133.85,WITHDRAWAL,Bangalore,DEVICE002,14,10,0,0,0
8666.84,DEPOSIT,Dhule,DEVICE007,23,3,0,0,0
35136.5,WITHDRAWAL,Kolkata,DEVICE007,21,15,0,1,0
20380.76,PAYMENT,Chennai,DEVICE005,3,26,0,0,0
30231.21,DEPOSIT,Kolkata,DEVICE008,8,3,0,0,0
19614.9,PAYMENT,Bangalore,DEVICE002,22,19,1,0,0
48007.97,TRANSFER,Delhi,DEVICE001,5,10,0,0,0
35184.21,WITHDRAWAL,Pune,DEVICE008,12,9,0,1,1
41347.58,WITHDRAWAL,Bangalore,DEVICE001,16,17,0,0,0
48547.81,WITHDRAWAL,Nashik,DEVICE007,13,4,0,1,1
28739.88,TRANSFER,Nashik,DEVICE005,23,11,0,0,0
39522.78,WITHDRAWAL,Delhi,DEVICE005,20,26,0,0,0
41974.14,DEPOSIT,Delhi,DEVICE001,11,7,1,0,1
22902.46,DEPOSIT,Mumbai,DEVICE006,9,18,1,1,1
30989.28,WITHDRAWAL,Bangalore,DEVICE003,4,1,1,0,0
32535.95,PAYMENT,Nashik,DEVICE004,17,16,0,0,0
27750.84,TRANSFER,Delhi,DEVICE007,17,20,0,0,0
35380.84,DEPOSIT,Chennai,DEVICE007,15,28,1,0,1
13029.63,PAYMENT,Pune,DEVICE006,15,22,1,0,1
43211.89,PAYMENT,Hyderabad,DEVICE005,5,8,0,0,0
12080.01,TRANSFER,Kolkata,DEVICE008,21,12,0,0,0
35856.65,DEPOSIT,Bangalore,DEVICE002,4,19,0,0,0
28350.12,PAYMENT,Hyderabad,DEVICE006,8,15,0,0,0
46937.45,WITHDRAWAL,Nashik,DEVICE006,16,30,0,0,1
44716.05,PAYMENT,Chennai,DEVICE008,21,25,0,0,1
30958.64,TRANSFER,Ahmedabad,DEVICE004,22,17,0,0,0
125.31,WITHDRAWAL,Nashik,DEVICE002,18,28,0,1,0
20349.22,TRANSFER,Nashik,DEVICE002,7,15,0,0,0
47017.09,TRANSFER,Nashik,DEVICE008,20,14,1,0,1
245.62,DEPOSIT,Chennai,DEVICE005,8,4,1,0,0
40757.04,TRANSFER,Kolkata,DEVICE004,13,22,1,0,1
10578.06,DEPOSIT,Bangalore,DEVICE004,23,1,0,1,0
18973.23,DEPOSIT,Pune,DEVICE006,0,0,0,0,0
10434.11,DEPOSIT,Kolkata,DEVICE006,7,13,0,0,0
25629.64,PAYMENT,Kolkata,DEVICE005,10,25,0,0,0
46256.91,TRANSFER,Bangalore,DEVICE008,0,1,1,1,1
13186.92,WITHDRAWAL,Chennai,DEVICE001,2,8,0,0,0
14760.09,PAYMENT,Delhi,DEVICE007,12,19,0,0,0
27372.7,DEPOSIT,Nashik,DEVICE008,1,1,0,0,1
39459.35,TRANSFER,Delhi,DEVICE002,16,20,1,0,0
34660.28,WITHDRAWAL,Nashik,DEVICE003,16,12,0,0,0
39871.83,WITHDRAWAL,Hyderabad,DEVICE005,12,4,0,1,0
43465.04,TRANSFER,Kolkata,DEVICE001,1,7,0,1,1
15148.91,PAYMENT,Mumbai,DEVICE006,12,23,0,0,0
461.26,WITHDRAWAL,Mumbai,DEVICE008,13,16,0,0,0
29369.46,WITHDRAWAL,Delhi,DEVICE001,2,23,0,0,0
35016.53,DEPOSIT,Chennai,DEVICE006,13,9,0,0,0
13829.07,PAYMENT,Bangalore,DEVICE001,8,27,0,0,0
7260.47,PAYMENT,Mumbai,DEVICE003,2,21,1,1,1
43521.68,PAYMENT,Hyderabad,DEVICE006,9,23,0,0,0
3150.27,WITHDRAWAL,Ahmedabad,DEVICE008,5,20,0,0,0
25573.44,TRANSFER,Mumbai,DEVICE004,14,21,0,0,0
27430.53,PAYMENT,Pune,DEVICE001,23,26,1,0,0
45084.05,PAYMENT,Pune,DEVICE007,13,25,0,0,1
7163.35,DEPOSIT,Nashik,DEVICE004,9,18,0,0,0
16898.67,PAYMENT,Delhi,DEVICE002,14,0,1,0,1
38803.87,DEPOSIT,Chennai,DEVICE007,11,19,0,0,0
45457.9,TRANSFER,Dhule,DEVICE002,16,22,0,0,0
15830.6,TRANSFER,Nashik,DEVICE006,16,10,0,0,0
3195.44,WITHDRAWAL,Hyderabad,DEVICE001,3,9,1,0,0
12401.75,TRANSFER,Nashik,DEVICE003,22,20,0,0,0
38965.65,WITHDRAWAL,Delhi,DEVICE008,3,16,0,0,0
8799.09,TRANSFER,Chennai,DEVICE006,10,13,0,0,0
